gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR145W	ADH5	1000
YBR252W	DUT1	1000
YDL205C	HEM3	1000
YDR044W	HEM13	1000
YDR047W	HEM12	1000
YDR232W	HEM1	1000
YDR300C	PRO1	1000
YDR376W	ARH1	1000
YEL046C	GLY1	1000
YER014W	HEM14	1000
YER065C	ICL1	1000
YER170W	ADK2	1000
YFL030W	AGX1	1000
YGL040C	HEM2	1000
YKL120W	OAC1	1000
YMR319C	FET4	1000
YOL086C	ADH1	1000
YOR176W	HEM15	1000
YOR278W	HEM4	1000
YOR323C	PRO2	1000
YPL172C	COX10	1000
YPL252C	YAH1	1000
YMR058W	FET3	1000
YJR069C	HAM1	1000
YER141W	COX15	1000
YDR452W	PPN1	1000
YPL262W	FUM1	342.368619391715
YBR117C	TKL2	46.4890672688092
YPR074C	TKL1	39.2624713402774
YJR095W	SFC1	30.6411592842062
YJL121C	RPE1	10.3560876261501
YJL167W	ERG20	9.26019418292402
YLR450W	HMG2	9.26019418292402
YML075C	HMG1	9.26019418292402
YML126C	ERG13	9.26019418292402
YMR208W	ERG12	9.26019418292402
YMR220W	ERG8	9.26019418292402
YPL028W	ERG10	9.26019418292402
YPL117C	IDI1	9.26019418292402
YNR043W	MVD1	9.26019418292402
YHR002W	LEU5	9.26019418292402
YHR137W	ARO9	5.86171487796945
YGR248W	SOL4	5.60442398621721
YGR256W	GND2	5.60442398621721
YHR163W	SOL3	5.60442398621721
YHR183W	GND1	5.60442398621721
YNL241C	ZWF1	5.60442398621721
YPR021C	AGC1	4.17924360375218
YOL126C	MDH2	3.85624735338553
YBR221C	PDB1	3.52976819738561
YER178W	PDA1	3.52976819738561
YGR193C	PDX1	3.52976819738561
YNL071W	LAT1	3.52976819738561
YCR053W	THR4	3.18706441106827
YER052C	HOM3	3.18706441106827
YHR025W	THR1	3.18706441106827
YJR139C	HOM6	3.18706441106827
YDR158W	HOM2	3.18706441106827
YOR095C	RKI1	2.98362544241115
YGR087C	PDC6	2.8334156536697
YLR044C	PDC1	2.8334156536697
YLR134W	PDC5	2.8334156536697
YNR001C	CIT1	2.72351838873607
YPR001W	CIT3	2.72351838873607
YKL085W	MDH1	2.5474852667492
YGL080W	MPC1	2.46042968680693
YGR243W	MPC3	2.46042968680693
YHR162W	MPC2	2.46042968680693
YBR218C	PYC2	2.45330319929326
YGL062W	PYC1	2.45330319929326
YAL038W	CDC19	2.36561367992641
YOR347C	PYK2	2.36561367992641
YHR174W	ENO2	2.20510876911546
YKL152C	GPM1	2.20510876911546
YMR323W	ERR3	2.20510876911546
YOR393W	ERR1	2.20510876911546
YPL281C	ERR2	2.20510876911546
YOR283W	YOR283W	2.20510876911546
YGR254W	ENO1	2.20510876911546
YNL036W	NCE103	1.69432143499811
YCR012W	PGK1	1.17093905635755
YGR192C	TDH3	1.17093905635755
YJL052W	TDH1	1.17093905635755
YJR009C	TDH2	1.17093905635755
YDR050C	TPI1	1.06676923323887
YGR240C	PFK1	1.06002676830617
YKL060C	FBA1	1.06002676830617
YMR205C	PFK2	1.06002676830617
YBL039C	URA7	0.133931198022574
YJR103W	URA8	0.133931198022574
YDR503C	LPP1	0.107871341885998
YER069W	ARG5,6	0.0753127384427565
YMR062C	ARG7	0.0753127384427565
YOL140W	ARG8	0.0753127384427565
YOR130C	ORT1	0.0753127384427565
YLR174W	IDP2	0.0599886561472727
YER081W	SER3	0.0148585433872277
YGR208W	SER2	0.0148585433872277
YIL074C	SER33	0.0148585433872277
YOR184W	SER1	0.0148585433872277
YLR058C	SHM2	0.00472372994907989
YGR204W	ADE3	0.00186849877521316
YAL044C	GCV3	0
YBR263W	SHM1	0
YCL040W	GLK1	0
YDR019C	GCV1	0
YDR148C	KGD2	0
YER070W	RNR1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YKL029C	MAE1	0
YLR438W	CAR2	0
YMR189W	GCV2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YOR388C	FDH1	0
YLR446W	YLR446W	0
