genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YBL015W	P32316	ACH1	58.71137	OE	1000	2	1.59704540228408e-05	1.59732528396608e-05	1.59716169294187e-05	1.00485574564336	1	7	0	1
YDL205C	P28789	HEM3	36.67427	OE	1000	2	0.000231907994697957	0.000231907994699403	0.000231907994697957	1.0458288632974	1	4	0	1
YDR044W	P11353	HEM13	37.71116	OE	1000	2	0.000852618268689726	0.000852618268694954	0.000852618268689726	1.19711259063113	1	6	0	1
YDR047W	P32347	HEM12	41.34866	OE	1000	2	0.000651934678641949	0.000651934678645946	0.000651934678641949	1.16121398705736	1	4	0	1
YDR232W	P09950	HEM1	59.36171	OE	1000	2	0.000176221690148038	0.000176221690149158	0.000176221690148038	1.05696739158988	1	6	0	1
YDR300C	P32264	PRO1	47.16164	OE	1000	2	1.08876128989213e-07	1.09282080071315e-07	1.09025675289214e-07	1.00002749163555	1	4	0	1
YEL046C	P37303	GLY1	42.81463	OE	1000	2	4.67636373660189e-07	4.72571989613126e-07	4.67839584622084e-07	1.00010520319359	1	4	0	1
YER014W	P40012	HEM14	59.70226	OE	1000	2	3.30924422278473e-06	3.30924422278473e-06	3.30924422278473e-06	1.0010199527734	1	4	0	1
YER065C	P28240	ICL1	62.40816	OE	1000	2	7.23900901744707e-06	7.25588910628474e-06	7.25523910406037e-06	1.00242900754911	1	3	0	1
YER170W	P26364	ADK2	25.19373	OE	1000	2	9.91012724892894e-07	9.94934647449909e-07	9.91082640647808e-07	1.00012966178537	1	5	0	1
YFL030W	P43567	AGX1	41.90679	OE	1000	2	7.29403077009278e-07	7.31091031767243e-07	7.31040153784908e-07	1.00015854553961	1	4	0	1
YGL040C	P05373	HEM2	37.73995	OE	1000	2	4.68512173250387e-05	4.68512173250388e-05	4.68512173250387e-05	1.00919465076689	1	4	0	1
YOR176W	P16622	HEM15	44.5956	OE	1000	2	4.83148612930158e-05	4.83148612930159e-05	4.83148612930158e-05	1.01122668124055	1	4	0	1
YOR278W	P06174	HEM4	30.91124	OE	1000	2	1.62858438091035e-08	1.62858438091035e-08	1.62858438091035e-08	1.00000359369735	1	3	0	1
YOR323C	P54885	PRO2	49.73991	OE	1000	2	1.41132660846488e-08	1.41667541392631e-08	1.41331587778013e-08	1.00000462189375	1	6	0	1
YPL172C	P21592	COX10	52.14718	OE	1000	2	4.39223639944662e-06	4.39223639944663e-06	4.39223639944662e-06	1.0011824664024	1	5	0	1
YER141W	P40086	COX15	54.65792	OE	1000	2	5.61471783095314e-07	5.6620323338753e-07	5.66203233387529e-07	1.00016047272524	1	7	0	1
YPL262W	P08417	FUM1	53.15125	OE	342.368619391715	2	2.05019417257759e-07	2.08721006373163e-07	2.0708256964173e-07	1.00005766065566	1	6	0	1
YJL121C	P46969	RPE1	25.96689	OE	10.3560876261501	2	8.13087844082331e-07	8.18454975523802e-07	8.14155274471322e-07	1.00011000844986	1	2	0	1
YJL167W	P08524	ERG20	40.48289	OE	9.26019418292402	2	2.71034113628634e-05	2.71036134829696e-05	2.71034113628634e-05	1.00568535563347	1	5	0	1
YML126C	P54839	ERG13	55.01283	OE	9.26019418292402	2	0.000107757874479977	0.000107759314318917	0.000107757874479977	1.03147831304794	1	12	0	1
YMR208W	P07277	ERG12	48.45901	OE	9.26019418292402	2	2.04201284833421e-06	2.04202841194774e-06	2.04201284833421e-06	1.00051108215163	1	11	0	1
YMR220W	P24521	ERG8	50.45437	OE	9.26019418292402	2	1.31528230602379e-05	1.31529233071364e-05	1.31528230602379e-05	1.00343148968794	1	4	0	1
YPL028W	P41338	ERG10	41.72825	OE	9.26019418292402	2	4.96868527759556e-08	5.20140120764866e-08	4.96883353445184e-08	1.0000116826872	1	6	0	1
YPL117C	P15496	IDI1	33.35113	OE	9.26019418292402	2	4.98546929559406e-10	3.38069698054866e-09	4.98546929559406e-10	1.00000018134205	1	2	0	1
YNR043W	P32377	MVD1	44.11544	OE	9.26019418292402	2	9.12643222636536e-06	9.12650110034141e-06	9.12643222636536e-06	1.00207954757565	1	6	0	1
YHR137W	P38840	ARO9	58.52706	OE	5.86171487796945	2	8.25418936569223e-08	8.42012469232641e-08	8.27205957124499e-08	1.00002589596754	1	13	0	1
YNL241C	P11412	ZWF1	57.5209	OE	5.60442398621721	2	2.23464120428743e-07	2.23927685358776e-07	2.23755877110443e-07	1.00006736064644	1	5	0	1
YOL126C	P22133	MDH2	40.7305	OE	3.85624735338553	2	1.34864878009547e-08	1.64900832200062e-08	1.35145172976927e-08	1.00000396562407	1	5	0	1
YCR053W	P16120	THR4	57.47349	OE	3.18706441106827	2	5.74184825882243e-09	5.79297257987884e-09	5.74304322470848e-09	1.00000271457341	1	6	0	1
YER052C	P10869	HOM3	58.10913	OE	3.18706441106827	2	1.03184953474902e-07	1.04120821659412e-07	1.03223447763403e-07	1.00003215905238	1	4	0	1
YHR025W	P17423	THR1	38.71215	OE	3.18706441106827	2	5.74094029268287e-07	5.7929201215515e-07	5.74304322470848e-07	1.00011650353273	1	5	0	1
YJR139C	P31116	HOM6	38.50163	OE	3.18706441106827	2	1.03733047124354e-06	1.04672971880302e-06	1.03771745884235e-06	1.00020859322884	1	7	0	1
YDR158W	P13663	HOM2	39.54334	OE	3.18706441106827	2	1.23405392997073e-07	1.24524656777411e-07	1.23451430744251e-07	1.00002635874143	1	6	0	1
