genes	enzymes	shortNames	MWs	actions	k_scores
YBL015W	P32316	ACH1	58.71137	1	1000
YBR145W	P38113	ADH5	37.64764	1	1000
YBR252W	P33317	DUT1	15.30716	1	1000
YDL205C	P28789	HEM3	36.67427	1	1000
YDR044W	P11353	HEM13	37.71116	1	1000
YDR047W	P32347	HEM12	41.34866	1	1000
YDR232W	P09950	HEM1	59.36171	1	1000
YDR300C	P32264	PRO1	47.16164	1	1000
YDR376W	P48360	ARH1	56.23654	1	1000
YEL046C	P37303	GLY1	42.81463	1	1000
YER014W	P40012	HEM14	59.70226	1	1000
YER065C	P28240	ICL1	62.40816	1	1000
YER170W	P26364	ADK2	25.19373	1	1000
YFL030W	P43567	AGX1	41.90679	1	1000
YGL040C	P05373	HEM2	37.73995	1	1000
YKL120W		OAC1	NaN	1	1000
YMR319C	P40988	FET4	62.7913	1	1000
YOL086C	P00330	ADH1	36.84874	1	1000
YOR176W	P16622	HEM15	44.5956	1	1000
YOR278W	P06174	HEM4	30.91124	1	1000
YOR323C	P54885	PRO2	49.73991	1	1000
YPL172C	P21592	COX10	52.14718	1	1000
YPL252C	Q12184	YAH1	18.93229	1	1000
YMR058W	P38993	FET3	72.35915	1	1000
YJR069C	P47119	HAM1	22.09268	1	1000
YER141W	P40086	COX15	54.65792	1	1000
YDR452W	Q04119	PPN1	78.34335	1	1000
YPL262W	P08417	FUM1	53.15125	1	342.368619391715
YBR117C	P33315	TKL2	75.02862	1	46.4890672688092
YPR074C	P23254	TKL1	73.80488	1	39.2624713402774
YJR095W		SFC1	NaN	1	30.6411592842062
YJL121C	P46969	RPE1	25.96689	1	10.3560876261501
YJL167W	P08524	ERG20	40.48289	1	9.26019418292402
YLR450W	P12684	HMG2	115.69085	1	9.26019418292402
YML075C	P12683	HMG1	115.62448	1	9.26019418292402
YML126C	P54839	ERG13	55.01283	1	9.26019418292402
YMR208W	P07277	ERG12	48.45901	1	9.26019418292402
YMR220W	P24521	ERG8	50.45437	1	9.26019418292402
YPL028W	P41338	ERG10	41.72825	1	9.26019418292402
YPL117C	P15496	IDI1	33.35113	1	9.26019418292402
YNR043W	P32377	MVD1	44.11544	1	9.26019418292402
